Designator,Value,Quantity,Reference,Package,Manufacturer,MPN,Unit Price(USD),Supplier,Datasheet
C1-C64,100pF,64,DC Block Capacitor,0402,Johanson,0402CG100JAT2A,0.08,DigiKey,https://www.johansondielectrics.com/
C65-C128,10μF,64,Decoupling Capacitor,0402,Murata,GRM105C8104KA55D,0.05,Mouser,https://www.murata.com/
D1-D64,N/A,64,PIN Diode,SOD-323,MACOM,MA4P7454B-402T,0.85,DigiKey,https://www.macom.com/products/pin-diodes/
VR1-VR64,N/A,64,Varactor Diode,SOD-323,Skyworks,SMV1235-083LF,1.20,Mouser,https://www.skyworksinc.com/products/diodes/varactors/
L1-L128,1μH,128,RF Choke Inductor,0603,Coilcraft,0603LS-102XGLC,0.15,DigiKey,https://www.coilcraft.com/
R1-R63,100Ω,63,Isolation Resistor,0603,Vishay,CRCW0603F1000FKEA,0.03,Mouser,https://www.vishay.com/
J1,SMA,1,RF Connector,SMA,Cinch,142-0701-801,3.50,DigiKey,https://www.cinchconnectivity.com/
U1,XC7A100T,1,FPGA,CSG324,Xilinx,XC7A100T-1CSG324,45.00,Mouser,https://www.xilinx.com/products/silicon-devices/fpga/artix-7.html
U2,STM32F746ZGT6,1,MCU,LQFP144,ST,STM32F746ZGT6,12.00,Mouser,https://www.st.com/en/microcontrollers-microprocessors/stm32f746zg.html
U3-U10,74HC595,8,Shift Register,SOIC-16,TI,SN74HC595NSR,0.35,DigiKey,https://www.ti.com/product/SN74HC595
U11,TPS54330,1,12V to 5V Buck,HTSSOP-16,TI,TPS54330DRCT,2.50,Mouser,https://www.ti.com/product/TPS54330
U12,TPS62040,1,5V to 3.3V Buck,SON-10,TI,TPS62040DRCT,1.80,DigiKey,https://www.ti.com/product/TPS62040
U13,TPS62140,1,3.3V to 1.8V Buck,SON-10,TI,TPS62140DRCT,2.00,Mouser,https://www.ti.com/product/TPS62140
U14,TPS62080,1,1.8V to 1.0V Buck,SON-10,TI,TPS62080DSGR,1.90,DigiKey,https://www.ti.com/product/TPS62080
Y1,100MHz,1,Crystal Oscillator,SMD-3225,Epson,SG-8018CB,1.50,Mouser,https://www.epsondevice.com/
